シリーズ名・書名,発売日,著者
甘くない彼らの日常は。（３）,13,野切耀子
絶対にときめいてはいけない！（６）,13,築島治
恋の音、みつけた（２）,13,赤池うらら
カエルになった王子様（２）,13,我楽谷
ケイ×ヤク　―あぶない相棒―（２）,13,薫原好江
川越の書生さん（２）,13,幹本ヤエ
理想のオトコ（５）,13,チカ
キッスインブルーヘブン,13,雁須磨子
スイートストロベリー・ユアマイン,13,町田とまと
ぼくの宝ばこ,13,少年アヤ
東京ミュウミュウ　オーレ！（１）,13,青月まどか／講談社
PとJK（16）,13,三次マキ
黒崎くんの言いなりになんてならない（16）,13,マキノ
スモーキング・サベージ（４）,13,岩城宏士
葬列　The Resistance（１）,13,細川忠孝／小川勝己
大親友（１）,13,大島永遠
ねこぱんち　春ランチ号,13,アンソロジー
魔法使いだった猫（２）,13,みかみふみ
書店員まことの晩餐（２）,13,さかきしん
29歳・地味局の突然なモテ期（２）～年下後輩とオフィスで抜かず3発,13,高山ねむ子
オレだけに抱かれろ（１）～契約結婚で憧れの教授の妻になりました～,13,松本ゆうか
帝王上司の調教セックス（１）～俺なしじゃいられない体にしてやるよ,13,空海リク
エメラルドに食べられたい（１）,13,ａｉｍｉ
サナダくんは私のお尻に住んでいます（１）,13,えぴこ
暁の犬（１）,13,高瀬理恵／鳥羽亮
エコール・ド・プラトーン（２）,13,永美太郎
牛乳配達DIARY,13,ＩＮＡ
最果てリセット（２）,14,瀬田ハルヒ
自炊男子に不器用な恋してます。,14,揚立しの
魔女ヶ丘通信,14,唐草ミチル
異世界転生の冒険者（３）,14,しばの番茶／ケンイチ
骨等屋ホネツギ（１）,14,ホジョイ
ナイトミルクヘブン,15,秋吉しま
愛獣,15,吉永だらお
うちのおばあちゃんが元ヤンに狙われています！（１）,15,星倉ハル
ねこのマッサージ屋さん,15,久川はる
目の毒すぎる職場のふたり（１）,15,ｍａ２
愛とはかくも度し難い,15,峰島なわこ
ぎゅぎゅっと高橋,15,高橋拡那
ハルタ　2020-APRIL（73）,15,ハルタ編集部
ヒナまつり（18）,15,大武政夫
紅椿（１）,15,高橋拡那
名探偵コナン　ゼロの執行人（１）,15,青山剛昌／阿部ゆたかほか
名探偵コナン　ゼロの執行人（２）,15,青山剛昌／阿部ゆたかほか
名探偵コナン（98）,15,青山剛昌
名探偵コナン　赤井ファミリーセレクション,15,青山剛昌
名探偵コナン　赤井秀一セレクション,15,青山剛昌
鬼と交わる逢魔が時　ダメッ！何度も擦り込まないで…（下）,15,瑞色あき
鬼と交わる逢魔が時　ダメッ！何度も擦り込まないで…（上）,15,瑞色あき
元貴族令嬢で未婚の母ですが、娘たちが可愛すぎて冒険者業も苦になりません＠COMIC（１）,15,緋賀ゆかり／大小判
ヒトを勝手に参謀にするんじゃない、この覇王（１）ゲーム世界に放り込まれたオタクの苦労,15,ｙｏｓ／港瀬つかさ
転生先で捨てられたので、もふもふ達とお料理します～お飾り王妃はマイペースに最強です～（１）,15,もにつなのに／桜井悠
勿論、慰謝料請求いたします！（３）,15,無糖党／ｓｏｙ
おじさんはカワイイものがお好き。（４）,15,ツトム
とーとつにエジプト神,15,ｙｕｋａ
うさぎは正義（７）,15,井口病院
ブラック・ジャック　ガール,15,七野ワビせん／手塚治虫
和田ラヂヲの火の鳥,15,和田ラヂヲ／手塚治虫
懊悩！マモルくん（３）,15,しりあがり寿／手塚治虫
ふることふひと（１）,15,壱村仁／風越洞
マーヴェラス・キス（１）,15,あず真矢
ぐるぐるてくてく（３）,15,帯屋ミドリ
やまとは恋のまほろば（２）,15,浜谷みお
ワカルトリ（３・完）,15,柴田賢志郎
灰色の季節、箱庭で（１）,15,はみ
臓物島（３）,15,外薗昌也
誰かいい人いませんか？（１）,15,バラマツヒトミ
名前のない怪物（３）,15,黒木京也／万丈梓
恋はくせもの（１）,15,大箕すず
トリガー【新装完全版】（１）,中,武村勇治／板倉俊之
トリガー【新装完全版】（２）,中,武村勇治／板倉俊之
トリガー【新装完全版】（３）,中,武村勇治／板倉俊之
妻は元ヒーロー（４）,中,美樹ヌメ夫
1％ORANGE sideB,中,羊の目。
シリーズ名・書名,発売日,著者
（成）おねーさん達とセックスで勝負しよ？,3,かゆみ止め
（成）ハメとも　女友達がセフレ化した日,3,桜湯ハル
（成）Live！,3,ジャイロウ
（成）おっぱいカルテ,3,有賀冬
（成）搾精ビッチガールズ,3,創田ぐみ
（成）寝取られたい女達,6,奏亜希子
（成）人妻姦落,6,長谷円
（成）若妻蟻地獄,10,砂川多良
